class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65
0,-1,36,-1,-1,36,-1,-1,43,-1,-1,43,-1,37,-1,-1,37,-1,-1,41,-1,-1,43,-1,-1,-1,7.0,-1,-1,7.0,-1,5.656854249492381,-1,-1,8.48528137423857,-1,-1,3,0,0,5,0,0,0,0,0,0,0,12,12,0,0,15,7,0,0,0,0,0,-1,0.7071067811865476,-1,1.0,-1,-1,28
0,-1,36,-1,-1,36,-1,-1,43,-1,-1,43,-1,38,-1,-1,37,-1,-1,42,-1,-1,41,-1,-1,-1,7.0,-1,-1,7.0,-1,5.656854249492381,-1,-1,5.656854249492381,-1,-1,5,0,0,5,0,0,0,0,0,0,0,9,14,0,0,12,14,0,0,0,0,0,-1,0.7071067811865476,-1,1.0,-1,-1,31
0,-1,36,-1,-1,36,-1,-1,43,-1,-1,43,-1,37,-1,-1,38,-1,-1,41,-1,-1,43,-1,-1,-1,7.0,-1,-1,7.0,-1,5.656854249492381,-1,-1,7.0710678118654755,-1,-1,3,0,0,3,0,0,0,0,0,0,0,12,10,0,0,12,8,0,0,0,0,0,-1,0.7071067811865476,-1,1.5811388300841898,-1,-1,20
0,-1,36,-1,-1,38,-1,-1,43,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,7.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,5,5,0,0,8,8,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,14
0,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,3.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,8
0,-1,36,-1,-1,36,-1,-1,39,-1,-1,39,-1,38,-1,-1,36,-1,-1,39,-1,-1,43,-1,-1,-1,3.0,-1,-1,3.0,-1,1.4142135623730951,-1,-1,9.899494936611665,-1,-1,2,0,0,8,0,0,0,0,0,0,0,4,12,0,0,12,0,0,0,0,0,0,-1,3.5355339059327378,-1,1.4142135623730951,-1,-1,17
0,-1,34,-1,-1,38,-1,-1,45,-1,-1,43,-1,36,-1,-1,38,-1,-1,42,-1,-1,43,-1,-1,-1,11.0,-1,-1,5.0,-1,8.48528137423857,-1,-1,7.0710678118654755,-1,-1,7,0,0,6,0,0,0,0,0,0,0,20,10,0,0,22,18,0,0,0,0,0,-1,0.7071067811865476,-1,1.5811388300841898,-1,-1,34
0,-1,30,-1,-1,39,-1,-1,43,-1,-1,43,-1,39,-1,-1,39,-1,-1,43,-1,-1,43,-1,-1,-1,13.0,-1,-1,4.0,-1,5.656854249492381,-1,-1,5.656854249492381,-1,-1,5,0,0,5,0,0,0,0,0,0,0,22,4,0,0,30,34,0,0,0,0,0,-1,3.640054944640259,-1,3.0,-1,-1,53
0,-1,32,-1,-1,36,-1,-1,46,-1,-1,41,-1,36,-1,-1,36,-1,-1,41,-1,-1,43,-1,-1,-1,14.0,-1,-1,5.0,-1,7.0710678118654755,-1,-1,9.899494936611665,-1,-1,6,0,0,7,0,0,0,0,0,0,0,30,24,0,0,24,14,0,0,0,0,0,-1,1.8027756377319946,-1,1.4142135623730951,-1,-1,55
0,-1,30,-1,-1,38,-1,-1,47,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,17.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,27,10,0,0,19,27,0,0,0,0,0,-1,1.5811388300841898,-1,0.0,-1,-1,45
0,-1,37,-1,-1,37,-1,-1,41,-1,-1,43,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,4.0,-1,-1,6.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,6,10,0,0,10,7,0,0,0,0,0,-1,1.0,-1,0.0,-1,-1,16
0,-1,36,-1,-1,36,-1,-1,43,-1,-1,42,-1,37,-1,-1,37,-1,-1,41,-1,-1,43,-1,-1,-1,7.0,-1,-1,6.0,-1,5.656854249492381,-1,-1,8.48528137423857,-1,-1,5,0,0,7,0,0,0,0,0,0,0,14,14,0,0,16,8,0,0,0,0,0,-1,1.118033988749895,-1,1.0,-1,-1,34
0,-1,36,-1,-1,35,-1,-1,41,-1,-1,45,-1,38,-1,-1,36,-1,-1,41,-1,-1,42,-1,-1,-1,5.0,-1,-1,10.0,-1,4.242640687119285,-1,-1,8.48528137423857,-1,-1,4,0,0,7,0,0,0,0,0,0,0,7,20,0,0,18,11,0,0,0,0,0,-1,1.5,-1,0.7071067811865476,-1,-1,32
0,-1,36,-1,-1,36,-1,-1,42,-1,-1,42,-1,38,-1,-1,37,-1,-1,41,-1,-1,42,-1,-1,-1,6.0,-1,-1,6.0,-1,4.242640687119285,-1,-1,7.0710678118654755,-1,-1,4,0,0,6,0,0,0,0,0,0,0,7,13,0,0,13,6,0,0,0,0,0,-1,1.4142135623730951,-1,0.0,-1,-1,21
0,-1,37,-1,-1,36,-1,-1,43,-1,-1,40,-1,39,-1,-1,37,-1,-1,40,-1,-1,43,-1,-1,-1,6.0,-1,-1,4.0,-1,1.4142135623730951,-1,-1,8.48528137423857,-1,-1,2,0,0,7,0,0,0,0,0,0,0,1,13,0,0,12,2,0,0,0,0,0,-1,2.0,-1,0.7071067811865476,-1,-1,17
0,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,3.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,8
0,-1,38,-1,-1,38,-1,-1,41,-1,-1,40,-1,38,-1,-1,38,-1,-1,40,-1,-1,41,-1,-1,-1,3.0,-1,-1,2.0,-1,2.8284271247461903,-1,-1,4.242640687119285,-1,-1,3,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,2,0,0,0,0,0,-1,1.118033988749895,-1,0.7071067811865476,-1,-1,6
0,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,3.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,8,8,0,0,4,4,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,12
0,-1,37,-1,-1,36,-1,-1,43,-1,-1,43,-1,39,-1,-1,38,-1,-1,41,-1,-1,42,-1,-1,-1,6.0,-1,-1,7.0,-1,2.8284271247461903,-1,-1,5.656854249492381,-1,-1,3,0,0,5,0,0,0,0,0,0,0,3,10,0,0,14,10,0,0,0,0,0,-1,0.5,-1,1.0,-1,-1,20
0,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,39,-1,-1,38,-1,-1,40,-1,-1,41,-1,-1,-1,3.0,-1,-1,3.0,-1,1.4142135623730951,-1,-1,4.242640687119285,-1,-1,2,0,0,4,0,0,0,0,0,0,0,3,4,0,0,4,3,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,6
0,-1,36,-1,-1,38,-1,-1,43,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,7.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,6,8,0,0,8,8,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,14
0,-1,36,-1,-1,37,-1,-1,43,-1,-1,43,-1,38,-1,-1,38,-1,-1,41,-1,-1,43,-1,-1,-1,7.0,-1,-1,6.0,-1,4.242640687119285,-1,-1,7.0710678118654755,-1,-1,4,0,0,6,0,0,0,0,0,0,0,7,10,0,0,16,11,0,0,0,0,0,-1,0.5,-1,1.4142135623730951,-1,-1,24
0,-1,38,-1,-1,37,-1,-1,41,-1,-1,43,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,3.0,-1,-1,6.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,8,6,0,0,8,8,0,0,0,0,0,-1,0.5,-1,0.0,-1,-1,22
0,-1,36,-1,-1,38,-1,-1,43,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,40,-1,-1,-1,7.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,2.8284271247461903,-1,-1,4,0,0,3,0,0,0,0,0,0,0,6,8,0,0,4,6,0,0,0,0,0,-1,0.7071067811865476,-1,0.7071067811865476,-1,-1,10
0,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,38,-1,-1,38,-1,-1,41,-1,-1,40,-1,-1,-1,3.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,2.8284271247461903,-1,-1,4,0,0,3,0,0,0,0,0,0,0,4,4,0,0,3,4,0,0,0,0,0,-1,0.7071067811865476,-1,0.7071067811865476,-1,-1,7
0,-1,34,-1,-1,38,-1,-1,45,-1,-1,43,-1,39,-1,-1,36,-1,-1,41,-1,-1,41,-1,-1,-1,11.0,-1,-1,5.0,-1,2.8284271247461903,-1,-1,7.0710678118654755,-1,-1,3,0,0,6,0,0,0,0,0,0,0,4,18,0,0,8,16,0,0,0,0,0,-1,0.7071067811865476,-1,1.5811388300841898,-1,-1,20
0,-1,36,-1,-1,39,-1,-1,43,-1,-1,41,-1,39,-1,-1,39,-1,-1,41,-1,-1,41,-1,-1,-1,7.0,-1,-1,2.0,-1,2.8284271247461903,-1,-1,2.8284271247461903,-1,-1,3,0,0,3,0,0,0,0,0,0,0,6,4,0,0,8,8,0,0,0,0,0,-1,0.5,-1,1.0,-1,-1,12
0,-1,37,-1,-1,41,-1,-1,43,-1,-1,42,-1,37,-1,-1,41,-1,-1,43,-1,-1,-1,-1,-1,-1,6.0,-1,-1,1.0,-1,8.48528137423857,-1,-1,-1.0,-1,-1,4,0,0,1,0,0,0,0,0,0,0,7,0,0,0,5,13,0,0,0,0,0,-1,1.5,-1,-1.0,-1,-1,12
0,-1,36,-1,-1,39,-1,-1,43,-1,-1,41,-1,38,-1,-1,39,-1,-1,41,-1,-1,41,-1,-1,-1,7.0,-1,-1,2.0,-1,4.242640687119285,-1,-1,2.8284271247461903,-1,-1,4,0,0,3,0,0,0,0,0,0,0,6,4,0,0,8,6,0,0,0,0,0,-1,0.5,-1,0.7071067811865476,-1,-1,10
0,-1,38,-1,-1,36,-1,-1,41,-1,-1,43,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,3.0,-1,-1,7.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,8,8,0,0,8,6,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,19
0,-1,38,-1,-1,36,-1,-1,43,-1,-1,42,-1,38,-1,-1,37,-1,-1,41,-1,-1,42,-1,-1,-1,5.0,-1,-1,6.0,-1,4.242640687119285,-1,-1,7.0710678118654755,-1,-1,4,0,0,6,0,0,0,0,0,0,0,8,13,0,0,11,7,0,0,0,0,0,-1,1.118033988749895,-1,0.0,-1,-1,21
0,-1,38,-1,-1,36,-1,-1,41,-1,-1,43,-1,38,-1,-1,38,-1,-1,41,-1,-1,41,-1,-1,-1,3.0,-1,-1,7.0,-1,4.242640687119285,-1,-1,4.242640687119285,-1,-1,4,0,0,4,0,0,0,0,0,0,0,7,7,0,0,7,8,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,14
0,-1,36,-1,-1,36,-1,-1,43,-1,-1,42,-1,38,-1,-1,38,-1,-1,41,-1,-1,42,-1,-1,-1,7.0,-1,-1,6.0,-1,4.242640687119285,-1,-1,5.656854249492381,-1,-1,4,0,0,5,0,0,0,0,0,0,0,7,10,0,0,13,9,0,0,0,0,0,-1,1.118033988749895,-1,0.7071067811865476,-1,-1,21
0,-1,38,-1,-1,38,-1,-1,42,-1,-1,41,-1,36,-1,-1,39,-1,-1,43,-1,-1,40,-1,-1,-1,4.0,-1,-1,3.0,-1,9.899494936611665,-1,-1,1.4142135623730951,-1,-1,8,0,0,2,0,0,0,0,0,0,0,10,3,0,0,3,12,0,0,0,0,0,-1,0.5,-1,0.0,-1,-1,17
0,-1,38,-1,-1,38,-1,-1,42,-1,-1,41,-1,38,-1,-1,39,-1,-1,41,-1,-1,40,-1,-1,-1,4.0,-1,-1,3.0,-1,4.242640687119285,-1,-1,1.4142135623730951,-1,-1,4,0,0,2,0,0,0,0,0,0,0,7,3,0,0,3,7,0,0,0,0,0,-1,0.5,-1,0.0,-1,-1,10
0,-1,38,-1,-1,38,-1,-1,39,-1,-1,39,-1,38,-1,-1,38,-1,-1,39,-1,-1,41,-1,-1,-1,1.0,-1,-1,1.0,-1,1.4142135623730951,-1,-1,4.242640687119285,-1,-1,2,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,-1,2.1213203435596424,-1,1.4142135623730951,-1,-1,6
0,-1,36,-1,-1,37,-1,-1,41,-1,-1,43,-1,36,-1,-1,38,-1,-1,42,-1,-1,41,-1,-1,-1,5.0,-1,-1,6.0,-1,8.48528137423857,-1,-1,4.242640687119285,-1,-1,7,0,0,4,0,0,0,0,0,0,0,16,5,0,0,7,11,0,0,0,0,0,-1,1.5,-1,0.7071067811865476,-1,-1,22
0,-1,38,-1,-1,36,-1,-1,41,-1,-1,43,-1,38,-1,-1,39,-1,-1,41,-1,-1,40,-1,-1,-1,3.0,-1,-1,7.0,-1,4.242640687119285,-1,-1,1.4142135623730951,-1,-1,4,0,0,2,0,0,0,0,0,0,0,8,5,0,0,5,8,0,0,0,0,0,-1,0.7071067811865476,-1,0.0,-1,-1,14
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,43,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,9.899494936611665,-1,-1,0,0,0,5,0,0,0,0,0,0,0,1,8,0,0,16,0,0,0,0,0,0,-1,-1.0,-1,-1.0,-1,-1,17
0,-1,36,-1,-1,39,-1,-1,41,-1,-1,41,-1,39,-1,-1,36,-1,-1,40,-1,-1,43,-1,-1,-1,5.0,-1,-1,2.0,-1,1.4142135623730951,-1,-1,9.899494936611665,-1,-1,2,0,0,8,0,0,0,0,0,0,0,3,15,0,0,18,3,0,0,0,0,0,-1,1.5,-1,0.0,-1,-1,20
0,-1,38,-1,-1,36,-1,-1,-1,-1,-1,38,-1,39,-1,-1,36,-1,-1,-1,-1,-1,43,-1,-1,-1,-1.0,-1,-1,2.0,-1,-1.0,-1,-1,9.899494936611665,-1,-1,1,0,0,4,0,0,0,0,0,0,0,5,5,0,0,9,0,0,0,0,0,0,-1,-1.0,-1,-1.0,-1,-1,9
